Date,ID,Latitude,Longitude,y_proj,x_proj,SM1,P1,SM2,P2,SM3,P3,SM4,P4,SM5,P5,SM6,P6,SM7,P7,Average,SD
11/30/12,HF010,42.4376615,-76.24706036,4699123.472,397431.5734,29,0.97,28,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,0.707106781
4/19/13,HF010,42.4376615,-76.24706036,4699123.47,397431.57,33,0.99,32,0.99,36,1.01,NA,NA,NA,NA,NA,NA,NA,NA,33.66666667,2.081665999
4/19/13,HF010,42.4376615,-76.24706036,4699123.47,397431.57,27,0.96,22,0.93,28,0.97,NA,NA,NA,NA,NA,NA,NA,NA,25.66666667,3.214550254
5/16/13,HF010,42.4376615,-76.24706036,4699123.47,397431.57,18,0.9,19,0.91,19,0.91,NA,NA,NA,NA,NA,NA,NA,NA,18.66666667,0.577350269
6/27/13,HF010,42.4376615,-76.24706036,4699123.472,397431.5734,24,0.94,17,0.9,22,0.93,NA,NA,NA,NA,NA,NA,NA,NA,21,3.605551275
7/18/13,HF010,42.4376615,-76.24706036,4699123.472,397431.5734,12,0.86,13,0.87,12,0.86,NA,NA,NA,NA,NA,NA,NA,NA,12.33333333,0.577350269
8/15/13,HF010,42.4376615,-76.24706036,4699123.472,397431.5734,24,0.94,28,0.96,24,0.94,NA,NA,NA,NA,NA,NA,NA,NA,25.33333333,2.309401077
10/26/13,HF010,42.4376615,-76.24706036,4699123.472,397431.5734,40,1.03,41,1.04,40,1.03,NA,NA,NA,NA,NA,NA,NA,NA,40.33333333,0.577350269
11/2/12,HF019,42.43740502,-76.24827063,4699096.455,397331.6106,29,0.97,21,0.92,23,0.94,24,0.94,NA,NA,NA,NA,NA,NA,24.25,3.403429643
11/9/12,HF019,42.43740502,-76.24827063,4699096.455,397331.6106,23,0.93,25,0.95,28,0.96,28,0.97,NA,NA,NA,NA,NA,NA,26,2.449489743
11/16/12,HF019,42.43740502,-76.24827063,4699096.455,397331.6106,20,0.92,23,0.94,24,0.94,24,0.94,NA,NA,NA,NA,NA,NA,22.75,1.892969449
11/30/12,HF019,42.43740502,-76.24827063,4699096.455,397331.6106,19,0.91,20,0.91,19,0.91,NA,NA,NA,NA,NA,NA,NA,NA,19.333333,0.577350269
4/19/13,HF019,42.43740502,-76.24827063,4699096.46,397331.61,28,0.96,25,0.95,22,0.93,NA,NA,NA,NA,NA,NA,NA,NA,25,3
